 
log File 
 
User : hannuo 
2021/10/15 周五 
11:28
 
Process Ran by hannuo 
 

映像名称                       PID 会话名              会话#       内存使用 
svchost.exe                   4984 Services                   0      7,800 K
explorer.exe                  5368 Console                    1    121,328 K
svchost.exe                   4752 Services                   0      6,032 K
wallpaper32.exe               6600 Console                    1     40,648 K
GoogleCrashHandler.exe        9352 Services                   0        440 K
GoogleCrashHandler64.exe      9384 Services                   0        264 K
svchost.exe                   9992 Console                    1      4,168 K
audiodg.exe                  10064 Services                   0      9,720 K
StartMenuExperienceHost.e     7592 Console                    1     18,860 K
RuntimeBroker.exe             9724 Console                    1      5,176 K
SearchApp.exe                 9976 Console                    1         16 K
RuntimeBroker.exe             7600 Console                    1      6,876 K
YourPhone.exe                10484 Console                    1         16 K
svchost.exe                  10680 Services                   0     10,092 K
svchost.exe                  11160 Services                   0      6,240 K
svchost.exe                  11240 Services                   0     13,084 K
svchost.exe                  11248 Services                   0      2,444 K
svchost.exe                  10964 Services                   0      3,708 K
svchost.exe                  11176 Services                   0      1,268 K
RuntimeBroker.exe            11296 Console                    1      4,296 K
ctfmon.exe                   11644 Console                    1     16,060 K
TextInputHost.exe            11860 Console                    1     15,120 K
ChsIME.exe                   12080 Console                    1      1,900 K
SGTool.exe                   12192 Console                    1     19,352 K
RuntimeBroker.exe             1428 Console                    1      6,944 K
RadeonSoftware.exe           11548 Console                    1     77,672 K
SearchIndexer.exe            11524 Services                   0     26,376 K
SecurityHealthSystray.exe    11604 Console                    1      3,004 K
SecurityHealthService.exe    11476 Services                   0     18,432 K
RtkNGUI64.exe                 9572 Console                    1      8,052 K
cpumetricsserver.exe          9828 Console                    1      8,592 K
Everything.exe               10552 Console                    1    186,624 K
OneDrive.exe                  4384 Console                    1     24,836 K
CCXProcess.exe                7112 Console                    1         36 K
node.exe                      7380 Console                    1      6,132 K
conhost.exe                   8744 Console                    1        316 K
cncmd.exe                    12172 Console                    1         16 K
svchost.exe                  12204 Services                   0      3,136 K
AMDRSServ.exe                 5456 Console                    1     85,324 K
AdobeIPCBroker.exe           10272 Console                    1      2,644 K
amdow.exe                    12616 Console                    1      1,108 K
HskDDNS.exe                  12756 Console                    1      6,348 K
TabletDriverCore.exe         12952 Console                    1      2,572 K
XZDesktop64.exe              13032 Console                    1     90,484 K
Wox.exe                      13040 Console                    1     75,112 K
XZSearch64.exe                5580 Console                    1     28,944 K
